Hawk-Dove Simulation on 03-21 21-49-39

1000 iterations took:;118;ms
Seed used:;15033968
Average:;0.50117224
Min:;6.627245E-05
Max:;0.9985485

averages,variable
0.903,0.87010014,0.16910245
0.8735,0.8204116,0.072084986
0.6375,0.8068779,0.60518503
-0.049,0.25451362,0.4205624
0.3725,0.42881876,0.28643486
0.945,0.966395,0.891177
-0.625,0.24003191,0.8269035
-0.1465,0.5316247,0.92750704
0.4335,0.71789193,0.889308
0.7495,0.62851036,0.092139
0.384,0.5970262,0.5312681
-0.1805,0.37917998,0.68041533
0.183,0.22952439,0.27757776
0.4115,0.7720205,0.88745934
0.425,0.7330895,0.827151
-0.659,0.24417087,0.830183
0.6285,0.7885432,0.6294386
-1.054,0.030075697,0.7973649
0.4085,0.2173332,0.17122597
-0.3075,0.30611664,0.65917957
-0.4165,0.34586215,0.8072297
-0.258,0.43510625,0.81440645
0.128,0.1909945,0.3081728
-0.312,0.42804915,0.84744847
-0.479,0.09066923,0.5527381
0.899,0.9431232,0.8956431
-0.098,0.1355649,0.38097614
0.754,0.7892807,0.33371904
0.684,0.52870333,0.09499127
0.4595,0.7187465,0.6904572
0.563,0.63272494,0.42976335
0.56,0.82649577,0.9843132
0.9915,0.97999173,0.053296752
-0.162,0.12519534,0.41454336
0.65,0.8457687,0.8513577
0.932,0.87418103,0.029212749
0.342,0.18825549,0.14844163
0.3135,0.6812964,0.93869597
-0.133,0.099079385,0.37727585
-0.316,0.3877979,0.8961406
0.099,0.4076855,0.5095548
0.218,0.3219836,0.31785104
0.5575,0.78646266,0.866196
-0.4435,0.35130173,0.8435953
0.5125,0.6184904,0.40280253
-0.28,0.2637033,0.59116775
-0.6685,0.2021908,0.7595627
0.225,0.07117008,0.16432214
0.7665,0.8744505,0.76812744
0.6365,0.33042854,0.037420496
0.9005,0.83798057,0.090121806
0.818,0.7599605,0.12247344
0.0775,0.45899475,0.61694574
0.5915,0.62847346,0.30433217
0.5345,0.55585074,0.3214916
0.961,0.93382823,0.24786171
0.4895,0.7374528,0.72871757
-1.127,0.08193175,0.8879417
0.207,0.48489672,0.5263792
0.8445,0.8786172,0.46097842
0.681,0.38087058,0.035306543
0.373,0.55945516,0.474023
0.3835,0.09202121,0.09003525
0.3395,0.41477785,0.2824035
0.7175,0.60362667,0.1077827
0.4085,0.55084455,0.42414048
0.658,0.81425005,0.64635134
0.5385,0.15407406,0.03373869
0.832,0.8657778,0.35472548
0.638,0.82870245,0.72509146
-0.5925,0.13921583,0.68116397
0.4045,0.54891163,0.39138013
0.2895,0.30566746,0.24497446
0.8775,0.9012983,0.35965723
0.874,0.8695849,0.2070345
-0.403,0.061931994,0.5149882
0.6115,0.8053738,0.6561268
0.7235,0.6794942,0.20129433
0.17,0.56802535,0.7452359
0.052,0.515316,0.7157662
-1.035,0.10276071,0.8794753
0.111,0.3959431,0.51125044
0.49,0.48191735,0.21070334
-0.1275,0.29473594,0.55608034
0.6285,0.8041202,0.7500616
0.0335,0.39948273,0.53554755
0.9505,0.94136393,0.16447656
0.267,0.37341273,0.33584806
0.443,0.3789138,0.21227889
-0.784,0.17113185,0.81183743
-0.585,0.3201794,0.9125511
-0.097,0.5084508,0.87115014
0.858,0.77552724,0.04428623
-0.136,0.466529,0.8960226
0.223,0.5675413,0.6832566
0.412,0.7270715,0.84805584
0.724,0.8372622,0.63139343
0.5685,0.77066517,0.78897023
0.815,0.8641466,0.41586253
0.8715,0.7972252,0.08336581
0.042,0.20741965,0.36354193
0.517,0.365616,0.11917887
0.1495,0.050710786,0.22795762
